017F	slong	LATIN SMALL LETTER LONG S	Uni.: 5.1; MUFI: 3.0
0180	bstrok	LATIN SMALL LETTER B WITH STROKE	Uni.: 5.1; MUFI: 3.0
0195	hwair	LATIN SMALL LETTER HV	Uni.: 5.1; MUFI: 3.0
0199	khook	LATIN SMALL LETTER K WITH HOOK	Uni.: 5.1; MUFI: 3.0
019A	lbar	LATIN SMALL LETTER L WITH BAR	Uni.: 5.1; MUFI: 3.0
019C	Mturn	LATIN CAPITAL LETTER TURNED M	Uni.: ; MUFI: 4.0
019E	nlrleg	LATIN SMALL LETTER N WITH LONG RIGHT LEG	Uni.: 5.1; MUFI: 3.0
01A6	YR	LATIN LETTER YR	Uni.: 5.1; MUFI: 3.0
01B5	Zstrok	LATIN CAPITAL LETTER Z WITH STROKE	Uni.: 5.1; MUFI: 3.0
01B6	zstrok	LATIN SMALL LETTER Z WITH STROKE	Uni.: 5.1; MUFI: 3.0
01B7	EZH	LATIN CAPITAL LETTER EZH	Uni.: 5.1; MUFI: 3.0
01BF	wynn	LATIN LETTER WYNN	Uni.: 5.1; MUFI: 3.0
01D1	Ocar	LATIN CAPITAL LETTER O WITH CARON	Uni.: 5.1; MUFI: 3.0
01D2	ocar	LATIN SMALL LETTER O WITH CARON	Uni.: 5.1; MUFI: 3.0
01D3	Ucar	LATIN CAPITAL LETTER U WITH CARON	Uni.: 5.1; MUFI: 3.0
01D4	ucar	LATIN SMALL LETTER U WITH CARON	Uni.: 5.1; MUFI: 3.0
01D5	Uumlmacr	LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON	Uni.: 5.1; MUFI: 3.0
01D6	uumlmacr	LATIN SMALL LETTER U WITH DIAERESIS AND MACRON	Uni.: 5.1; MUFI: 3.0
01E2	AEligmacr	LATIN CAPITAL LETTER AE WITH MACRON	Uni.: 5.1; MUFI: 3.0
01E3	aeligmacr	LATIN SMALL LETTER AE WITH MACRON	Uni.: 5.1; MUFI: 3.0
01E4	Gstrok	LATIN CAPITAL LETTER G WITH STROKE	Uni.: 5.1; MUFI: 3.0
01E5	gstrok	LATIN SMALL LETTER G WITH STROKE	Uni.: 5.1; MUFI: 3.0
01EA	Oogon	LATIN CAPITAL LETTER O WITH OGONEK	Uni.: 5.1; MUFI: 3.0
